================================================================================
Dispositivo de Treinamento: cuda (NVIDIA GeForce RTX 3050 Laptop GPU)
VRAM Total Disponível: 3767.6 MB
================================================================================
Configuração:
 - Épocas: 50000
 - Pesos: PDE=1.0, IC=20.0, Ext_BC=20.0, Holes_BC=40.0
 - Amostragem Total por Passo: 46,000 pontos
================================================================================
Colocação pronta:
  - PDE Interior + Camada Limite: 30,000
  - Condição Inicial (t=0):       6,000
  - Borda Externa (u=1):          4,000
  - Bordas dos Furos (u=0):       6,000
  - Conjunto Teste Independente:  50,000
[*] Encontrado checkpoint em ./paper2_heat_irregular_domain/models/pinn_heat_holes_checkpoint.pth. Carregando...
/home/warley/vault/research/eu/./paper2_heat_irregular_domain/src/train_heat_holes_2d.py:229: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(checkpoint_path, map_location=device)
[*] Retomando treinamento a partir da época 2001!

================================================================================
INICIANDO TREINAMENTO DA PINN (50,000 ÉPOCAS) NA GPU...
================================================================================
/home/warley/.venv/pinn-gpu/lib/python3.11/site-packages/torch/autograd/graph.py:825: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at ../aten/src/ATen/cuda/CublasHandlePool.cpp:135.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
[ 2240/50000] Loss: 3.6680e-01 | PDE: 1.1835e-01 | Holes: 3.8671e-04 | Ext: 8.7294e-03 | ms/ep: 105.8 | LR: 9.95e-04 | ETA: 84.2min
[ 2250/50000] Loss: 3.6301e-01 | PDE: 1.1655e-01 | Holes: 3.7859e-04 | Ext: 8.6657e-03 | ms/ep: 105.6 | LR: 9.95e-04 | ETA: 84.0min
[ 2260/50000] Loss: 3.5930e-01 | PDE: 1.1476e-01 | Holes: 3.7114e-04 | Ext: 8.6072e-03 | ms/ep: 106.1 | LR: 9.95e-04 | ETA: 84.4min
[ 2270/50000] Loss: 3.5566e-01 | PDE: 1.1302e-01 | Holes: 3.6467e-04 | Ext: 8.5438e-03 | ms/ep: 105.9 | LR: 9.95e-04 | ETA: 84.2min
[ 2280/50000] Loss: 3.5209e-01 | PDE: 1.1132e-01 | Holes: 3.5780e-04 | Ext: 8.4852e-03 | ms/ep: 106.3 | LR: 9.95e-04 | ETA: 84.6min
[ 2290/50000] Loss: 3.4859e-01 | PDE: 1.0966e-01 | Holes: 3.5144e-04 | Ext: 8.4255e-03 | ms/ep: 106.0 | LR: 9.95e-04 | ETA: 84.3min
[ 2300/50000] Loss: 3.4515e-01 | PDE: 1.0804e-01 | Holes: 3.4537e-04 | Ext: 8.3657e-03 | ms/ep: 106.0 | LR: 9.95e-04 | ETA: 84.3min
[ 2310/50000] Loss: 3.4177e-01 | PDE: 1.0646e-01 | Holes: 3.3950e-04 | Ext: 8.3070e-03 | ms/ep: 106.0 | LR: 9.95e-04 | ETA: 84.3min
[ 2320/50000] Loss: 3.3846e-01 | PDE: 1.0491e-01 | Holes: 3.3402e-04 | Ext: 8.2473e-03 | ms/ep: 106.0 | LR: 9.95e-04 | ETA: 84.3min
[ 2330/50000] Loss: 3.3522e-01 | PDE: 1.0341e-01 | Holes: 3.3070e-04 | Ext: 8.1739e-03 | ms/ep: 105.8 | LR: 9.95e-04 | ETA: 84.0min
