epoch,total_loss,pde_u_loss,pde_v_loss,pde_loss,ic_loss,bc_loss,learning_rate
11750,3.96255549e-04,1.13238224e-04,2.64539820e-04,3.77778051e-04,1.48390853e-07,3.39871804e-06,3.70636977e-04
12000,3.04690446e-04,9.43289851e-05,1.94934415e-04,2.89263407e-04,1.16229103e-07,2.85295164e-06,3.52036588e-04
12250,3.18304257e-04,1.01352438e-04,2.01746647e-04,3.03099077e-04,1.18370110e-07,2.80429367e-06,3.33672057e-04
12500,2.83256144e-04,8.60716755e-05,1.84451987e-04,2.70523655e-04,1.01385368e-07,2.34372783e-06,3.15571701e-04
12750,6.25819608e-04,2.22390212e-04,3.64711304e-04,5.87101502e-04,2.68904955e-07,7.20580783e-06,2.97763430e-04
13000,3.20835010e-04,1.04205916e-04,1.92486928e-04,2.96692830e-04,1.11399700e-07,4.60563524e-06,2.80274703e-04
13250,3.92032758e-04,1.09910463e-04,2.64227914e-04,3.74138384e-04,7.37874331e-08,3.43130023e-06,2.63132485e-04
13500,3.27852176e-04,9.60003017e-05,2.17465131e-04,3.13465425e-04,8.50628510e-08,2.70722489e-06,2.46363210e-04
13750,2.74666178e-04,7.95062006e-05,1.83283948e-04,2.62790156e-04,7.37938208e-08,2.22761969e-06,2.29992735e-04
14000,2.71439843e-04,8.26987161e-05,1.78677583e-04,2.61376292e-04,6.10957969e-08,1.89052230e-06,2.14046300e-04
14250,2.37461165e-04,6.80583835e-05,1.60279669e-04,2.28338060e-04,6.04482011e-08,1.70372459e-06,1.98548495e-04
14500,2.30143865e-04,6.46507979e-05,1.57040937e-04,2.21691735e-04,5.65153577e-08,1.57739714e-06,1.83523216e-04
14750,2.30007761e-04,6.49320864e-05,1.57238581e-04,2.22170667e-04,5.85508566e-08,1.45031743e-06,1.68993631e-04
15000,2.79002823e-03,7.86399702e-04,1.99512136e-03,2.78152106e-03,1.50143165e-07,1.40111808e-06,1.54982143e-04
15250,6.62547769e-04,1.92500986e-04,4.63152304e-04,6.55653304e-04,4.31464393e-08,1.29259411e-06,1.41510358e-04
15500,2.45737901e-04,7.28852247e-05,1.65166566e-04,2.38051784e-04,7.05976149e-08,1.39603185e-06,1.28599047e-04
15750,2.41232716e-04,6.97834184e-05,1.64468511e-04,2.34251929e-04,4.92771193e-08,1.29760190e-06,1.16268119e-04
16000,2.29637793e-04,6.75316842e-05,1.55538699e-04,2.23070383e-04,5.17288505e-08,1.21002449e-06,1.04536588e-04
16250,2.15509179e-04,6.03932203e-05,1.48751642e-04,2.09144870e-04,5.04692892e-08,1.17192258e-06,9.34225419e-05
16500,2.12840343e-04,6.01131796e-05,1.46573992e-04,2.06687168e-04,4.95873564e-08,1.13146007e-06,8.29431186e-05
16750,2.10985192e-04,5.81415588e-05,1.46853490e-04,2.04995042e-04,4.94033756e-08,1.09922280e-06,7.31144765e-05
17000,2.91948061e-04,8.39572022e-05,2.02131647e-04,2.86088849e-04,5.84370667e-08,1.05496758e-06,6.39517705e-05
17250,2.11468301e-04,5.87057693e-05,1.47159066e-04,2.05864839e-04,4.57992542e-08,1.02909428e-06,5.54691290e-05
